Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueJungle,blueMiddle,blueADC,blueSupport,redTop,redJungle,redMiddle,redADC,redSupport
2017,Spring,Season,DIG,0,1,TSM,40,Ssumday,Chaser,Keane,LOD,Xpecial,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,1,0,DIG,30,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,IMT,0,1,C9,28,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,1,0,IMT,40,Impact,Contractz,Jensen,Sneaky,Smoothie,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,P1,1,0,NV,42,zig,Inori,Ryu,Arrow,Adrian,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,NV,0,1,P1,28,Seraph,LirA,Ninja,Apollo,Hakuho,zig,Inori,Ryu,Arrow,Adrian
2017,Spring,Season,TSM,1,0,TL,42,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,TL,1,0,TSM,43,Lourlo,Reignover,Goldenglue,Piglet,Matt,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,1,0,TL,46,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,DIG,1,0,FOX,31,Ssumday,Chaser,Keane,LOD,Xpecial,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,1,0,DIG,50,Looper,Akaadian,Froggen,Keith,Gate,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,DIG,0,1,FOX,25,Ssumday,Chaser,Keane,LOD,Xpecial,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,P1,1,0,TL,32,zig,Inori,Ryu,Arrow,Adrian,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,TL,0,1,P1,32,Lourlo,Reignover,Goldenglue,Piglet,Matt,zig,Inori,Ryu,Arrow,Adrian
2017,Spring,Season,FOX,1,0,FLY,30,Looper,Akaadian,Froggen,Keith,Gate,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,FLY,1,0,FOX,31,Balls,Moon,Hai,Altec,LemonNation,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,1,0,FLY,41,Looper,Akaadian,Froggen,Keith,Gate,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,NV,1,0,IMT,39,Seraph,LirA,Ninja,Apollo,Hakuho,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,IMT,1,0,NV,34,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,NV,0,1,IMT,38,Seraph,LirA,Ninja,Apollo,Hakuho,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,C9,1,0,CLG,37,Impact,Contractz,Jensen,Sneaky,Smoothie,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,1,0,C9,33,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,1,0,CLG,50,Impact,Contractz,Jensen,Sneaky,Smoothie,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,IMT,0,1,P1,55,Flame,Dardoch,Pobelter,Cody Sun,Olleh,zig,Inori,Ryu,Arrow,Adrian
2017,Spring,Season,P1,1,0,IMT,43,zig,Inori,Ryu,Arrow,Adrian,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,NV,1,0,TL,39,Seraph,LirA,Ninja,Apollo,Hakuho,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,TL,0,1,NV,34,Lourlo,Reignover,Goldenglue,Piglet,Matt,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,CLG,1,0,TSM,28,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,1,0,CLG,26,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,0,1,TSM,33,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,FLY,1,0,DIG,32,Balls,Moon,Hai,Altec,LemonNation,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,DIG,0,1,FLY,34,Ssumday,Chaser,Keane,LOD,Xpecial,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,TL,0,1,FOX,36,Lourlo,Reignover,Goldenglue,Piglet,Matt,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,0,1,TL,59,Looper,Akaadian,Froggen,Keith,Gate,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,TL,1,0,FOX,40,Lourlo,Reignover,Goldenglue,Piglet,Matt,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,C9,1,0,NV,34,Impact,Contractz,Jensen,Sneaky,Smoothie,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,NV,0,1,C9,45,Seraph,LirA,Ninja,Apollo,Hakuho,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,P1,1,0,TSM,33,zig,Inori,Ryu,Arrow,Adrian,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,1,0,P1,49,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,zig,Inori,Ryu,Arrow,Adrian
2017,Spring,Season,P1,0,1,TSM,44,zig,Inori,Ryu,Arrow,Adrian,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,DIG,0,1,CLG,51,Ssumday,Chaser,Keane,LOD,Xpecial,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,1,0,DIG,41,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,IMT,0,1,FLY,35,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,FLY,1,0,IMT,30,Balls,Moon,Hai,Altec,LemonNation,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,C9,1,0,FOX,46,Impact,Contractz,Jensen,Sneaky,Smoothie,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,0,1,C9,30,Looper,Akaadian,Froggen,Keith,Gate,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,1,0,TL,45,Ray,Contractz,Jensen,Sneaky,Smoothie,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,TL,1,0,C9,32,Lourlo,Reignover,Goldenglue,Piglet,Matt,Ray,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,1,0,TL,41,Impact,Contractz,Jensen,Sneaky,Smoothie,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,IMT,1,0,DIG,51,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,DIG,0,1,IMT,35,Ssumday,Chaser,Keane,LOD,Xpecial,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,CLG,0,1,FOX,40,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,1,0,CLG,31,Looper,Akaadian,Froggen,Keith,Gate,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,P1,0,1,FLY,57,zig,Inori,Ryu,Arrow,Adrian,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,FLY,1,0,P1,28,Balls,Moon,Hai,Altec,LemonNation,zig,Inori,Ryu,Arrow,Adrian
2017,Spring,Season,TSM,1,0,NV,25,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,NV,0,1,TSM,40,Seraph,LirA,Ninja,Apollo,Hakuho,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TL,0,1,IMT,30,Lourlo,Reignover,Goldenglue,Piglet,Matt,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,IMT,1,0,TL,43,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,CLG,1,0,P1,46,Darshan,Xmithie,Huhi,Stixxay,aphromoo,zig,Inori,Ryu,Arrow,Adrian
2017,Spring,Season,P1,1,0,CLG,36,zig,Inori,Ryu,Arrow,Adrian,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,1,0,P1,45,Darshan,Xmithie,Huhi,Stixxay,aphromoo,zig,Inori,Ryu,Arrow,Adrian
2017,Spring,Season,FOX,1,0,TSM,31,Looper,Akaadian,Froggen,Keith,Gate,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,0,1,FOX,37,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FLY,0,1,C9,35,Balls,Moon,Hai,Altec,LemonNation,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,0,1,FLY,37,Impact,Contractz,Jensen,Sneaky,Smoothie,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,FLY,0,1,C9,46,Balls,Moon,Hai,Altec,LemonNation,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,DIG,1,0,NV,34,Ssumday,Chaser,Keane,LOD,Stunt,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,NV,0,1,DIG,43,Seraph,LirA,Ninja,Apollo,Hakuho,Ssumday,Chaser,Keane,LOD,Stunt
2017,Spring,Season,DIG,1,0,FLY,31,Ssumday,Chaser,Keane,LOD,Xpecial,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,FLY,0,1,DIG,35,Balls,Moon,Hai,Altec,LemonNation,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,NV,0,1,P1,57,Seraph,LirA,Ninja,Apollo,Hakuho,zig,Meteos,Ryu,Arrow,Adrian
2017,Spring,Season,P1,1,0,NV,30,zig,Meteos,Ryu,Arrow,Adrian,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,CLG,1,0,IMT,27,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,IMT,1,0,CLG,50,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,1,0,IMT,35,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,TL,1,0,DIG,42,Lourlo,Reignover,Goldenglue,Piglet,Matt,Ssumday,Chaser,Keane,LOD,Stunt
2017,Spring,Season,DIG,1,0,TL,36,Ssumday,Chaser,Keane,LOD,Xpecial,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,TL,0,1,DIG,32,Lourlo,Reignover,Goldenglue,Piglet,Matt,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,C9,0,1,TSM,33,Impact,Contractz,Jensen,Sneaky,Smoothie,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,0,1,C9,41,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,0,1,TSM,40,Impact,Contractz,Jensen,Sneaky,Smoothie,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,NV,1,0,FOX,35,Seraph,LirA,Ninja,Apollo,Hakuho,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,0,1,NV,41,Looper,Akaadian,Froggen,Keith,Gate,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,FLY,0,1,TSM,31,Balls,Moon,Hai,Altec,LemonNation,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,0,1,FLY,43,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,FLY,0,1,TSM,35,Balls,Moon,Hai,Altec,LemonNation,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,IMT,1,0,FOX,40,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,0,1,IMT,28,Looper,Akaadian,Froggen,Keith,Gate,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,P1,1,0,C9,44,zig,Meteos,Ryu,Arrow,Adrian,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,0,1,P1,28,Ray,Contractz,Jensen,Sneaky,Smoothie,zig,Meteos,Ryu,Arrow,Adrian
2017,Spring,Season,TL,1,0,CLG,35,Lourlo,Reignover,Goldenglue,Piglet,Matt,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,1,0,TL,30,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Lourlo,Reignover,Goldenglue,Piglet,Matt
2017,Spring,Season,TL,0,1,CLG,29,Lourlo,Reignover,Goldenglue,Piglet,Matt,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,IMT,1,0,TL,40,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Lourlo,Reignover,Piglet,Youngbin,Matt
2017,Spring,Season,TL,1,0,IMT,35,Lourlo,Reignover,Piglet,Youngbin,Matt,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,IMT,0,1,TL,32,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Lourlo,Reignover,Piglet,Youngbin,Matt
2017,Spring,Season,P1,1,0,CLG,25,zig,Meteos,Ryu,Arrow,Adrian,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,1,0,P1,27,Darshan,Xmithie,Huhi,Stixxay,aphromoo,zig,Meteos,Ryu,Arrow,Adrian
2017,Spring,Season,P1,0,1,CLG,39,zig,Meteos,Ryu,Arrow,Adrian,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,FOX,0,1,C9,47,Looper,Akaadian,Froggen,Keith,Gate,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,1,0,FOX,27,Impact,Contractz,Jensen,Sneaky,Smoothie,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FLY,1,0,NV,38,Balls,Moon,Hai,Altec,LemonNation,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,NV,1,0,FLY,35,Seraph,LirA,Ninja,Apollo,Hakuho,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,FLY,1,0,NV,31,Balls,Moon,Hai,Altec,LemonNation,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,TSM,1,0,CLG,47,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,0,1,TSM,27,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,P1,1,0,DIG,35,zig,Meteos,Ryu,Arrow,Adrian,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,DIG,1,0,P1,27,Ssumday,Chaser,Keane,LOD,Xpecial,zig,Meteos,Ryu,Arrow,Adrian
2017,Spring,Season,P1,1,0,DIG,29,zig,Meteos,Ryu,Arrow,Adrian,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,DIG,0,1,TSM,43,Ssumday,Chaser,Keane,LOD,Xpecial,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,1,0,DIG,28,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,FOX,1,0,TL,34,Looper,Akaadian,Froggen,Keith,Gate,Lourlo,Reignover,Piglet,Youngbin,Matt
2017,Spring,Season,TL,1,0,FOX,50,Lourlo,Reignover,Piglet,Youngbin,Matt,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,1,0,TL,29,Looper,Akaadian,Froggen,Keith,Gate,Lourlo,Reignover,Piglet,Youngbin,Matt
2017,Spring,Season,C9,1,0,FLY,40,Impact,Contractz,Jensen,Sneaky,Smoothie,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,FLY,0,1,C9,47,Balls,Moon,Hai,Altec,LemonNation,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,IMT,1,0,NV,41,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,NV,1,0,IMT,47,Seraph,LirA,Ninja,Apollo,Hakuho,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,IMT,0,1,NV,36,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,TL,0,1,C9,36,Lourlo,Reignover,Piglet,Doublelift,Matt,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,1,0,TL,35,Ray,Contractz,Jensen,Sneaky,Smoothie,Lourlo,Reignover,Piglet,Doublelift,Matt
2017,Spring,Season,FLY,0,1,P1,34,Balls,Moon,Hai,Altec,LemonNation,zig,Meteos,Ryu,Arrow,Stunt
2017,Spring,Season,P1,1,0,FLY,47,zig,Meteos,Ryu,Arrow,Stunt,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,CLG,0,1,DIG,29,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,DIG,1,0,CLG,40,Ssumday,Chaser,Keane,LOD,Xpecial,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,NV,1,0,TSM,33,Seraph,LirA,Ninja,Apollo,Hakuho,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,1,0,NV,28,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Seraph,LirA,Ninja,Apollo,Hakuho
2017,Spring,Season,NV,0,1,TSM,39,Seraph,LirA,Ninja,Apollo,Hakuho,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,FLY,0,1,IMT,34,Balls,Moon,Hai,Altec,LemonNation,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,IMT,1,0,FLY,26,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Balls,Moon,Hai,Altec,LemonNation
2017,Spring,Season,P1,1,0,FOX,28,zig,Meteos,Ryu,Arrow,Stunt,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,0,1,P1,42,Looper,Akaadian,Froggen,Keith,Gate,zig,Inori,Ryu,Arrow,Stunt
2017,Spring,Season,CLG,1,0,C9,49,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Impact,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,C9,1,0,CLG,36,Ray,Contractz,Jensen,Sneaky,Smoothie,Darshan,Xmithie,Huhi,Stixxay,aphromoo
2017,Spring,Season,CLG,1,0,C9,41,Darshan,Xmithie,Huhi,Stixxay,aphromoo,Ray,Contractz,Jensen,Sneaky,Smoothie
2017,Spring,Season,FOX,1,0,DIG,57,Looper,Akaadian,Froggen,Keith,Gate,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,DIG,1,0,FOX,40,Ssumday,Chaser,Keane,LOD,Xpecial,Looper,Akaadian,Froggen,Keith,Gate
2017,Spring,Season,FOX,0,1,DIG,38,Looper,Akaadian,Froggen,Keith,Gate,Ssumday,Chaser,Keane,LOD,Xpecial
2017,Spring,Season,IMT,1,0,TSM,30,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
2017,Spring,Season,TSM,1,0,IMT,37,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost,Flame,Dardoch,Pobelter,Cody Sun,Olleh
2017,Spring,Season,IMT,0,1,TSM,39,Flame,Dardoch,Pobelter,Cody Sun,Olleh,Hauntzer,Svenskeren,Bjergsen,WildTurtle,Biofrost
